id	hunter	status	typesample	serial	year	manufacturer	model	twdb_url	image	images
5457	ORTBRAKER	My Collection	NONE	207492	1950	Olympia	Plana	http://typewriterdatabase.com/1950-olympia-plana.5457.typewriter	http://typewriterdatabase.com/img/thumbs/golympia _5457_1447638023.jpg	4
5458	Ramsr	My Collection	NONE	36451	1903	Ideal	A2	http://typewriterdatabase.com/1903-ideal-a2.5458.typewriter	http://typewriterdatabase.com/img/thumbs/gideal _5458_1447638147.jpg	5
5459	scrible	My Collection	http://typewriterdatabase.com/img/troyal _5459_1447659215.jpg	X14-226176	1915	Royal	10	http://typewriterdatabase.com/1915-royal-10.5459.typewriter	http://typewriterdatabase.com/img/thumbs/groyal _5459_1447659213.jpg	0
5460	jfraney	My Collection	http://typewriterdatabase.com/img/t _5460_1447693400.jpg	CG-2107601	1950	Royal	Arrow	http://typewriterdatabase.com/1950-royal-arrow.5460.typewriter	http://typewriterdatabase.com/img/thumbs/groyal _5460_1447693325.jpg	6
5461	Ouzelum	My Collection	http://typewriterdatabase.com/img/troyal _5461_1447780386.jpg	A-1839006	1949	Royal	Quiet De Luxe	http://typewriterdatabase.com/1949-royal-quiet-de-luxe.5461.typewriter	http://typewriterdatabase.com/img/thumbs/groyal _5461_1447780385.jpg	10
5462	sandler	My Collection	http://typewriterdatabase.com/img/tolympia _5462_1477507353.jpg	563965	1947	Olympia	Progress	http://typewriterdatabase.com/1947-olympia-progress.5462.typewriter	http://typewriterdatabase.com/img/thumbs/golympia _5462_1477507352.jpg	13
6943	richardpolt	My Collection	http://typewriterdatabase.com/img/t _6943_1477512693.jpg	972710	1957	Torpedo	30	http://typewriterdatabase.com/1957-torpedo-30.6943.typewriter	http://typewriterdatabase.com/img/thumbs/gtorpedo _6943_1477511947.jpg	5
5463	ordazunx	My Collection	http://typewriterdatabase.com/img/tbrosette _5463_1447951807.jpg	26275	1955	Brosette	Portable	http://typewriterdatabase.com/1955-brosette-portable.5463.typewriter	http://typewriterdatabase.com/img/thumbs/gbrosette _5463_1447951806.jpg	11
5464	ordazunx	My Collection	http://typewriterdatabase.com/img/tolivetti _5464_1447954821.jpg	16462	1934	Olivetti	MP1 Ico	http://typewriterdatabase.com/1934-olivetti-mp1-ico.5464.typewriter	http://typewriterdatabase.com/img/thumbs/golivetti _5464_1447954820.jpg	14
5465	tomhitt	My Collection	http://typewriterdatabase.com/img/tsmith-corona _5465_1448136993.jpg	4C161285	1946	Smith Corona	Clipper	http://typewriterdatabase.com/1946-smith-corona-clipper.5465.typewriter	http://typewriterdatabase.com/img/thumbs/gsmith-corona _5465_1448136992.jpg	3
5466	Ramsr	My Collection	NONE	127814	1904	Oliver	3	http://typewriterdatabase.com/1904-oliver-3.5466.typewriter	http://typewriterdatabase.com/img/thumbs/goliver _5466_1448163240.jpg	2
5467	Ramsr	My Collection	http://typewriterdatabase.com/img/tsmith-premier _5467_1448163456.jpg	19455	1889	Smith Premier	1	http://typewriterdatabase.com/1889-smith-premier-1.5467.typewriter	http://typewriterdatabase.com/img/thumbs/gsmith-premier _5467_1448163456.jpg	2
5468	Ramsr	My Collection	http://typewriterdatabase.com/img/thammond _5468_1448164182.jpg	108108	19xx	Hammond	Multiplex	http://typewriterdatabase.com/19xx-hammond-multiplex.5468.typewriter	http://typewriterdatabase.com/img/thumbs/ghammond _5468_1448164181.jpg	0
5469	zetix	My Collection	http://typewriterdatabase.com/img/thermes _5469_1448192716.jpg	9213590	1970	Hermes	Baby	http://typewriterdatabase.com/1970-hermes-baby.5469.typewriter	http://typewriterdatabase.com/img/thumbs/ghermes _5469_1448192716.jpg	8
5470	zetix	Sightings	http://typewriterdatabase.com/img/tadler _5470_1448197752.jpg	8570654	1969	Adler	Universal 20	http://typewriterdatabase.com/1969-adler-universal-20.5470.typewriter	http://typewriterdatabase.com/img/thumbs/gadler _5470_1448197751.jpg	0
5471	sandler	My Collection	http://typewriterdatabase.com/img/t _5471_1448653129.jpg	P88-356048	1934	Royal	P	http://typewriterdatabase.com/1934-royal-p.5471.typewriter	http://typewriterdatabase.com/img/thumbs/groyal _5471_1448653061.jpg	14
5472	Ramsr	My Collection	http://typewriterdatabase.com/img/thammond _5472_1448247863.jpg	F-233172	192x	Hammond	Multiplex Folding	http://typewriterdatabase.com/192x-hammond-multiplex-folding.5472.typewriter	http://typewriterdatabase.com/img/thumbs/ghammond _5472_1448247862.jpg	3
5473	Ramsr	My Collection	http://typewriterdatabase.com/img/tolympia _5473_1448248301.jpg	1327174	1960	Olympia	SM3	http://typewriterdatabase.com/1960-olympia-sm3.5473.typewriter	http://typewriterdatabase.com/img/thumbs/golympia _5473_1448248301.jpg	1
5474	Ramsr	My Collection	NONE	142852	1952	Olympia	SM2	http://typewriterdatabase.com/1952-olympia-sm2.5474.typewriter	http://typewriterdatabase.com/img/thumbs/golympia _5474_1448248509.jpg	0
5475	Ramsr	My Collection	NONE	23901	1908	American	8	http://typewriterdatabase.com/1908-american-8.5475.typewriter	http://typewriterdatabase.com/img/thumbs/gamerican _5475_1448248819.jpg	3
5476	Ramsr	My Collection	http://typewriterdatabase.com/img/tunderwood _5476_1448249110.jpg	60799	1906	Underwood	4	http://typewriterdatabase.com/1906-underwood-4.5476.typewriter	http://typewriterdatabase.com/img/thumbs/gunderwood _5476_1448249109.jpg	5
5477	Ramsr	My Collection	http://typewriterdatabase.com/img/tharris _5477_1448249358.jpg	106477	1911	Harris	4	http://typewriterdatabase.com/1911-harris-4.5477.typewriter	http://typewriterdatabase.com/img/thumbs/gharris _5477_1448249357.jpg	3
5478	Ramsr	My Collection	http://typewriterdatabase.com/img/tempire _5478_1448249654.jpg	74969	1921	Empire	1	http://typewriterdatabase.com/1921-empire-1.5478.typewriter	http://typewriterdatabase.com/img/thumbs/gempire _5478_1448249653.jpg	4
5479	Ramsr	My Collection	http://typewriterdatabase.com/img/tolympia _5479_1448249987.jpg	49802	1934	Olympia	Elite	http://typewriterdatabase.com/1934-olympia-elite.5479.typewriter	http://typewriterdatabase.com/img/thumbs/golympia _5479_1448249986.jpg	3
5480	Ramsr	My Collection	http://typewriterdatabase.com/img/tkappel _5480_1448250438.jpg	109214	1936	Kappel	VA	http://typewriterdatabase.com/1936-kappel-va.5480.typewriter	http://typewriterdatabase.com/img/thumbs/gkappel _5480_1448250437.jpg	5
5481	Ramsr	My Collection	http://typewriterdatabase.com/img/tolympia _5481_1448250803.jpg	997496	1958	Olympia	SM3	http://typewriterdatabase.com/1958-olympia-sm3.5481.typewriter	http://typewriterdatabase.com/img/thumbs/golympia _5481_1448250803.jpg	7
5482	Ramsr	My Collection	http://typewriterdatabase.com/img/toliver _5482_1448251052.jpg	66963	1932	Oliver	Portable	http://typewriterdatabase.com/1932-oliver-portable.5482.typewriter	http://typewriterdatabase.com/img/thumbs/goliver _5482_1448251051.jpg	4
5483	ordazunx	My Collection	http://typewriterdatabase.com/img/tolivetti _5483_1448314682.jpg	929917	1950	Olivetti	Lettera 22	http://typewriterdatabase.com/1950-olivetti-lettera-22.5483.typewriter	http://typewriterdatabase.com/img/thumbs/golivetti _5483_1448314681.jpg	12
5484	ordazunx	My Collection	http://typewriterdatabase.com/img/tolivetti _5484_1448317600.jpg	070259	1958	Olivetti	Lettera 22	http://typewriterdatabase.com/1958-olivetti-lettera-22.5484.typewriter	http://typewriterdatabase.com/img/thumbs/golivetti _5484_1448317600.jpg	12
5486	skuterescz	Sightings	NONE	11RGD40	1991	IBM	Wheelwriter 1000	http://typewriterdatabase.com/1991-ibm-wheelwriter-1000.5486.typewriter	http://typewriterdatabase.com/img/thumbs/gibm _5486_1448450896.jpg	11
